"GEOID","mean_premium","n_obs","NAME"
"29227",NA,NA,"Worth"
"31061",NA,NA,"Franklin"
"36013",1147,473,"Chautauqua"
"37181",1309,533,"Vance"
"47183",1390,360,"Weakley"
"44003",1700,3844,"Kent"
"08101",1709,5448,"Pueblo"
"17175",NA,NA,"Stark"
"29169",1540,1803,"Pulaski"
"19151",1617,26,"Pocahontas"
"22039",1481,245,"Evangeline"
"28049",2078,3620,"Hinds"
"28081",1626,1131,"Lee"
"29117",1466,206,"Livingston"
"21083",1697,222,"Graves"
"28037",NA,NA,"Franklin"
"40049",2147,208,"Garvin"
"47083",1692,92,"Houston"
"48189",1700,492,"Hale"
"51830",1458,623,"Williamsburg"
"51595",1096,107,"Emporia"
"51169",1053,84,"Scott"
"55069",998,159,"Lincoln"
"35043",1138,4743,"Sandoval"
"27065",2105,340,"Kanabec"
"13321",1451,274,"Worth"
"37145",1271,907,"Person"
"31035",1625,60,"Clay"
"31169",1736,23,"Thayer"
"54083",1102,46,"Randolph"
"47077",1415,383,"Henderson"
"72033",NA,NA,"Cataño"
"48263",NA,NA,"Kent"
"12081",2331,8364,"Manatee"
"16027",1059,4696,"Canyon"
"17069",NA,NA,"Hardin"
"21117",1739,4119,"Kenton"
"22091",1754,64,"St. Helena"
"27133",1292,155,"Rock"
"29119",1687,144,"McDonald"
"40025",NA,NA,"Cimarron"
"39069",989,57,"Henry"
"47151",1786,63,"Scott"
"06011",1333,502,"Colusa"
"13063",1503,6952,"Clayton"
"13057",1716,10908,"Cherokee"
"18065",1287,586,"Henry"
"20101",NA,NA,"Lane"
"21215",1674,601,"Spencer"
"19037",1289,70,"Chickasaw"
"27005",1667,735,"Becker"
"29085",NA,NA,"Hickory"
"27061",1604,885,"Itasca"
"36037",1322,713,"Genesee"
"31143",1535,38,"Polk"
"40097",2014,317,"Mayes"
"46025",NA,NA,"Clark"
"48499",1913,393,"Wood"
"48393",NA,NA,"Roberts"
"54105",NA,NA,"Wirt"
"72061",NA,NA,"Guaynabo"
"18095",1281,2767,"Madison"
"01059",1564,178,"Franklin"
"06075",2309,1692,"San Francisco"
"13047",1368,2317,"Catoosa"
"19191",1448,59,"Winneshiek"
"28093",1946,433,"Marshall"
"28087",1692,643,"Lowndes"
"29181",NA,NA,"Ripley"
"36115",1252,761,"Washington"
"46027",1408,199,"Clay"
"53071",1101,1244,"Walla Walla"
"08087",1927,417,"Morgan"
"17053",1290,98,"Ford"
"19103",1441,1291,"Johnson"
