"GEOID","value","NAME"
"48",2089.05493164062,"Texas"
"06",1547.60339355469,"California"
"21",1672.0029296875,"Kentucky"
"13",1896.57470703125,"Georgia"
"55",1277.91040039062,"Wisconsin"
"41",1122.54931640625,"Oregon"
"29",1693.46862792969,"Missouri"
"51",1585.142578125,"Virginia"
"47",1770.8603515625,"Tennessee"
"22",2262.67993164062,"Louisiana"
"36",2441.36645507812,"New York"
"16",1123.46423339844,"Idaho"
"12",2308.16235351562,"Florida"
"17",1757.51989746094,"Illinois"
"30",1562.56140136719,"Montana"
"27",1857.337890625,"Minnesota"
"24",1749.33044433594,"Maryland"
"19",1445.65014648438,"Iowa"
"11",2099.12182617188,"District of Columbia"
"53",1367.49731445312,"Washington"
"46",1628.00378417969,"South Dakota"
"39",1276.27124023438,"Ohio"
"31",1887.693359375,"Nebraska"
"18",1426.228515625,"Indiana"
"25",1944.45690917969,"Massachusetts"
"32",1089.97131347656,"Nevada"
"38",1756.17346191406,"North Dakota"
"05",1793.76843261719,"Arkansas"
"28",2111.80908203125,"Mississippi"
"08",1957.45007324219,"Colorado"
"37",1550.63525390625,"North Carolina"
"49",1133.18627929688,"Utah"
"40",2404.76440429688,"Oklahoma"
"56",1568.60986328125,"Wyoming"
"54",1263.75280761719,"West Virginia"
"45",1776.53112792969,"South Carolina"
"23",1202.06335449219,"Maine"
"15",2318.9423828125,"Hawaii"
"01",1722.58642578125,"Alabama"
"20",1962.66638183594,"Kansas"
"44",1918.93481445312,"Rhode Island"
"09",2001.48852539062,"Connecticut"
"26",1679.41491699219,"Michigan"
"02",1785.47900390625,"Alaska"
"10",1544.87060546875,"Delaware"
"35",1374.63916015625,"New Mexico"
"72",NA,"Puerto Rico"
"50",1479.80078125,"Vermont"
"34",2071.28881835938,"New Jersey"
"42",1364.3759765625,"Pennsylvania"
"33",1663.0322265625,"New Hampshire"
"04",1229.60693359375,"Arizona"
