"GEOID","mean_premium","n_obs","NAME"
"53",1348,198293,"Washington"
"72",NA,NA,"Puerto Rico"
"46",1865,20545,"South Dakota"
"39",1275,214968,"Ohio"
"01",1760,122581,"Alabama"
"05",1811,68334,"Arkansas"
"35",1440,56450,"New Mexico"
"48",2094,536158,"Texas"
"06",1547,699338,"California"
"21",1780,87755,"Kentucky"
"13",2065,346380,"Georgia"
"55",1253,90432,"Wisconsin"
"41",1178,110735,"Oregon"
"29",1771,171995,"Missouri"
"51",1628,344177,"Virginia"
"47",1669,184367,"Tennessee"
"22",2088,91126,"Louisiana"
"36",2481,297894,"New York"
"26",1715,206876,"Michigan"
"16",1230,47247,"Idaho"
"12",2487,533313,"Florida"
"02",1713,21936,"Alaska"
"17",1805,212404,"Illinois"
"30",1650,34338,"Montana"
"27",1974,208912,"Minnesota"
"24",1707,234072,"Maryland"
"19",1478,67463,"Iowa"
"10",1489,31564,"Delaware"
"31",2120,57819,"Nebraska"
"54",1316,25433,"West Virginia"
"18",1443,137117,"Indiana"
"25",2022,136063,"Massachusetts"
"42",1296,299502,"Pennsylvania"
"28",2132,45965,"Mississippi"
"08",2163,187811,"Colorado"
"20",2043,76065,"Kansas"
"32",1171,75721,"Nevada"
"50",1640,6632,"Vermont"
"09",1949,83339,"Connecticut"
"34",1939,231107,"New Jersey"
"11",1842,13256,"District of Columbia"
"38",1757,14695,"North Dakota"
"45",1762,149323,"South Carolina"
"37",1521,361163,"North Carolina"
"49",1214,101686,"Utah"
"40",2401,79406,"Oklahoma"
"56",1603,18596,"Wyoming"
"04",1240,202589,"Arizona"
"44",1953,17818,"Rhode Island"
"23",1180,24018,"Maine"
"15",2261,15601,"Hawaii"
"33",1686,37591,"New Hampshire"
