"FIPS","mean_premium","n_obs","NAME","StateAbb"
"29227",NA,NA,"Worth","MO"
"31061",NA,NA,"Franklin","NE"
"36013",1162,1063,"Chautauqua","NY"
"37181",1352,528,"Vance","NC"
"47183",1511,375,"Weakley","TN"
"44003",1838,3738,"Kent","RI"
"08101",2121,5189,"Pueblo","CO"
"17175",NA,NA,"Stark","IL"
"29169",1822,1921,"Pulaski","MO"
"19151",1501,30,"Pocahontas","IA"
"22039",1642,205,"Evangeline","LA"
"28049",2139,3147,"Hinds","MS"
"28081",1844,1018,"Lee","MS"
"29117",1593,245,"Livingston","MO"
"21083",2017,272,"Graves","KY"
"28037",NA,NA,"Franklin","MS"
"40049",2259,274,"Garvin","OK"
"47083",1680,127,"Houston","TN"
"48189",1937,510,"Hale","TX"
"51830",1719,473,"Williamsburg","VA"
"51595",1342,81,"Emporia","VA"
"51169",1270,129,"Scott","VA"
"55069",1266,283,"Lincoln","WI"
"35043",1382,5102,"Sandoval","NM"
"27065",2328,288,"Kanabec","MN"
"13321",1675,248,"Worth","GA"
"37145",1313,857,"Person","NC"
"31035",2284,64,"Clay","NE"
"31169",2516,21,"Thayer","NE"
"54083",1433,60,"Randolph","WV"
"47077",1642,375,"Henderson","TN"
"72033",NA,NA,"Cataño",NA
"48263",NA,NA,"Kent","TX"
"12081",2370,8228,"Manatee","FL"
"16027",1248,3843,"Canyon","ID"
"17069",NA,NA,"Hardin","IL"
"21117",1990,3868,"Kenton","KY"
"22091",1921,69,"St. Helena","LA"
"27133",1570,188,"Rock","MN"
"29119",2137,196,"McDonald","MO"
"40025",NA,NA,"Cimarron","OK"
"39069",1735,146,"Henry","OH"
"47151",1772,115,"Scott","TN"
"06011",1465,625,"Colusa","CA"
"13063",1746,6642,"Clayton","GA"
"13057",1956,9606,"Cherokee","GA"
"18065",1479,590,"Henry","IN"
"20101",NA,NA,"Lane","KS"
"21215",1919,627,"Spencer","KY"
"19037",1393,57,"Chickasaw","IA"
"27005",1888,654,"Becker","MN"
"29085",NA,NA,"Hickory","MO"
"27061",1690,879,"Itasca","MN"
"36037",1467,715,"Genesee","NY"
"31143",2041,41,"Polk","NE"
"40097",2218,478,"Mayes","OK"
"46025",NA,NA,"Clark","SD"
"48499",1816,427,"Wood","TX"
"48393",NA,NA,"Roberts","TX"
"54105",NA,NA,"Wirt","WV"
"72061",NA,NA,"Guaynabo",NA
"18095",1381,2217,"Madison","IN"
"01059",1816,242,"Franklin","AL"
"06075",2760,2047,"San Francisco","CA"
"13047",1473,2046,"Catoosa","GA"
"19191",1666,86,"Winneshiek","IA"
"28093",2163,512,"Marshall","MS"
"28087",1908,843,"Lowndes","MS"
"29181",NA,NA,"Ripley","MO"
"36115",1288,866,"Washington","NY"
"46027",1928,193,"Clay","SD"
"53071",1277,1199,"Walla Walla","WA"
"08087",2549,541,"Morgan","CO"
"17053",1586,93,"Ford","IL"
"19103",1674,1342,"Johnson","IA"
"20015",2379,1860,"Butler","KS"
"21149",1515,65,"McLean","KY"
"22043",1141,155,"Grant","LA"
"28137",1931,462,"Tate","MS"
"28017",2460,27,"Chickasaw","MS"
"36099",1213,225,"Seneca","NY"
"28029",2253,181,"Copiah","MS"
"42075",1029,3033,"Lebanon","PA"
"48353",2306,149,"Nolan","TX"
"51775",1144,1134,"Salem","VA"
"54031",1387,80,"Hardy","WV"
"01029",1732,148,"Cleburne","AL"
"55077",1424,147,"Marquette","WI"
"35015",2489,1455,"Eddy","NM"
"19069",1699,59,"Franklin","IA"
"28111",2466,68,"Perry","MS"
"21207",1638,95,"Russell","KY"
"24047",1904,1566,"Worcester","MD"
"47081",1619,307,"Hickman","TN"
"48217",2093,413,"Hill","TX"
"42045",1722,7636,"Delaware","PA"
"48129",NA,NA,"Donley","TX"
"51135",1368,210,"Nottoway","VA"
"13055",1542,224,"Chattooga","GA"
"19109",1516,89,"Kossuth","IA"
"27027",1703,1511,"Clay","MN"
"36009",1372,483,"Cattaraugus","NY"
"06087",2307,3334,"Santa Cruz","CA"
"24015",1501,3406,"Cecil","MD"
"26021",1876,1575,"Berrien","MI"
"28003",2332,192,"Alcorn","MS"
"29145",1845,1319,"Newton","MO"
"48215",1516,7674,"Hidalgo","TX"
"48403",NA,NA,"Sabine","TX"
"01009",1782,916,"Blount","AL"
"08013",2685,6119,"Boulder","CO"
"13247",2012,2896,"Rockdale","GA"
"17027",1683,547,"Clinton","IL"
"18055",1804,317,"Greene","IN"
"20027",NA,NA,"Clay","KS"
"21073",1659,894,"Franklin","KY"
"28133",2213,63,"Sunflower","MS"
"31149",NA,NA,"Rock","NE"
"45087",1366,218,"Union","SC"
"47113",1641,1956,"Madison","TN"
"51740",1659,3778,"Portsmouth","VA"
"72101",NA,NA,"Morovis",NA
"51810",1957,18510,"Virginia Beach","VA"
"55049",1729,201,"Iowa","WI"
"17055",1885,190,"Franklin","IL"
"19171",1520,215,"Tama","IA"
"19101",1718,99,"Jefferson","IA"
"20107",NA,NA,"Linn","KS"
"37083",1412,625,"Halifax","NC"
"21155",1508,186,"Marion","KY"
"38069",1825,25,"Pierce","ND"
"17187",1571,119,"Warren","IL"
"46123",1785,26,"Tripp","SD"
"72153",NA,NA,"Yauco",NA
"42131",1315,390,"Wyoming","PA"
"05021",1421,71,"Clay","AR"
"12047",1765,51,"Hamilton","FL"
"18043",1554,2210,"Floyd","IN"
"26057",2429,207,"Gratiot","MI"
"19137",1946,107,"Montgomery","IA"
"27151",1830,178,"Swift","MN"
"27127",1700,172,"Redwood","MN"
"20023",NA,NA,"Cheyenne","KS"
"21087",1984,51,"Green","KY"
"17041",1835,129,"Douglas","IL"
"17095",1327,789,"Knox","IL"
"51590",1100,965,"Danville","VA"
"55065",1372,71,"Lafayette","WI"
"48195",NA,NA,"Hansford","TX"
"48437",2045,45,"Swisher","TX"
"08095",2877,61,"Phillips","CO"
"17067",1580,65,"Hancock","IL"
"26101",1456,121,"Manistee","MI"
"30075",NA,NA,"Powder River","MT"
"31127",2265,86,"Nemaha","NE"
"28059",2930,2539,"Jackson","MS"
"48483",NA,NA,"Wheeler","TX"
"46101",2385,62,"Moody","SD"
"45083",1279,8387,"Spartanburg","SC"
"04025",1206,5711,"Yavapai","AZ"
"13067",2203,24945,"Cobb","GA"
"13043",1992,106,"Candler","GA"
"31075",NA,NA,"Grant","NE"
"19099",1526,850,"Jasper","IA"
"21009",1640,536,"Barren","KY"
"19175",1696,134,"Union","IA"
"26143",1739,291,"Roscommon","MI"
"29151",1796,122,"Osage","MO"
"28085",2293,321,"Lincoln","MS"
"39047",1294,351,"Fayette","OH"
"47177",1640,405,"Warren","TN"
"48227",1815,428,"Howard","TX"
"48151",NA,NA,"Fisher","TX"
"72005",NA,NA,"Aguadilla",NA
"48357",2152,71,"Ochiltree","TX"
"17115",1430,1090,"Macon","IL"
"08025",NA,NA,"Crowley","CO"
"19011",1598,393,"Benton","IA"
"19065",1574,94,"Fayette","IA"
"20133",NA,NA,"Neosho","KS"
"27085",1909,1025,"McLeod","MN"
"13021",1739,3614,"Bibb","GA"
"38035",1593,1247,"Grand Forks","ND"
"22001",2128,488,"Acadia","LA"
"17117",1844,330,"Macoupin","IL"
"47173",1320,297,"Union","TN"
"48031",1660,108,"Blanco","TX"
"48331",1800,233,"Milam","TX"
"48067",1724,239,"Cass","TX"
"08103",1256,149,"Rio Blanco","CO"
"17111",1759,8091,"McHenry","IL"
"20129",NA,NA,"Morton","KS"
"26139",1442,3006,"Ottawa","MI"
"35023",NA,NA,"Hidalgo","NM"
"42085",1030,1286,"Mercer","PA"
"13161",1766,128,"Jeff Davis","GA"
"01013",1840,147,"Butler","AL"
"05097",1647,61,"Montgomery","AR"
"08014",2413,1833,"Broomfield","CO"
"13269",1782,78,"Taylor","GA"
"18181",1396,411,"White","IN"
"20031",NA,NA,"Coffey","KS"
"29175",1609,297,"Randolph","MO"
"29187",1730,703,"St. Francois","MO"
"27079",2069,750,"Le Sueur","MN"
"28061",2295,65,"Jasper","MS"
"42043",1030,6472,"Dauphin","PA"
"46057",NA,NA,"Hamlin","SD"
"47105",1446,1254,"Loudon","TN"
"48297",2463,102,"Live Oak","TX"
"51680",1043,2124,"Lynchburg","VA"
"55135",1170,611,"Waupaca","WI"
"54095",NA,NA,"Tyler","WV"
"01093",1875,240,"Marion","AL"
"55061",1185,228,"Kewaunee","WI"
"18137",1578,231,"Ripley","IN"
"20115",NA,NA,"Marion","KS"
"28101",2057,145,"Newton","MS"
"13249",1730,68,"Schley","GA"
"13201",2148,41,"Miller","GA"
"38009",1814,67,"Bottineau","ND"
"51610",2969,558,"Falls Church","VA"
"48493",1877,985,"Wilson","TX"
"42097",947,955,"Northumberland","PA"
"13179",1992,2105,"Liberty","GA"
"22071",3992,6201,"Orleans","LA"
"29199",NA,NA,"Scotland","MO"
"31083",2332,27,"Harlan","NE"
"36061",4956,63,"New York","NY"
"37169",1208,1174,"Stokes","NC"
"38059",1877,550,"Morton","ND"
"42105",1209,87,"Potter","PA"
"05147",NA,NA,"Woodruff","AR"
"08089",2195,220,"Otero","CO"
"18131",1740,91,"Pulaski","IN"
"19091",1593,89,"Humboldt","IA"
"21239",1766,633,"Woodford","KY"
"20189",NA,NA,"Stevens","KS"
"29025",1781,115,"Caldwell","MO"
"34013",2375,11038,"Essex","NJ"
"31019",2353,689,"Buffalo","NE"
"40037",2403,1148,"Creek","OK"
"41003",1179,1519,"Benton","OR"
"46073",NA,NA,"Jerauld","SD"
"47015",1752,234,"Cannon","TN"
"48441",1821,3446,"Taylor","TX"
"54093",NA,NA,"Tucker","WV"
"50021",1378,503,"Rutland","VT"
"72151",NA,NA,"Yabucoa",NA
"01033",1702,1020,"Colbert","AL"
"08083",1243,630,"Montezuma","CO"
"20097",NA,NA,"Kiowa","KS"
"20209",1872,3565,"Wyandotte","KS"
"21179",1842,1146,"Nelson","KY"
"37103",2066,199,"Jones","NC"
"16055",1169,5111,"Kootenai","ID"
"47043",1711,1143,"Dickson","TN"
"48155",NA,NA,"Foard","TX"
"27097",1828,637,"Morrison","MN"
"51177",1451,5661,"Spotsylvania","VA"
"37025",1663,7005,"Cabarrus","NC"
"42113",1148,34,"Sullivan","PA"
"38045",NA,NA,"LaMoure","ND"
"39083",1486,756,"Knox","OH"
"42117",1151,253,"Tioga","PA"
"51183",1473,219,"Sussex","VA"
"48179",2137,290,"Gray","TX"
"37071",1254,6583,"Gaston","NC"
"31069",NA,NA,"Garden","NE"
"48191",NA,NA,"Hall","TX"
"31023",2086,41,"Butler","NE"
"36111",1622,2250,"Ulster","NY"
"51197",1141,358,"Wythe","VA"
"38091",NA,NA,"Steele","ND"
"05085",1837,3103,"Lonoke","AR"
"05075",1507,154,"Lawrence","AR"
"29161",1866,533,"Phelps","MO"
"26071",1318,82,"Iron","MI"
"27099",1606,1099,"Mower","MN"
"36015",1532,917,"Chemung","NY"
"37159",1282,3463,"Rowan","NC"
"48243",NA,NA,"Jeff Davis","TX"
"51520",1440,259,"Bristol","VA"
"48261",NA,NA,"Kenedy","TX"
"01045",1960,1120,"Dale","AL"
"05101",NA,NA,"Newton","AR"
"13193",1844,61,"Macon","GA"
"31091",NA,NA,"Hooker","NE"
"18143",1586,323,"Scott","IN"
"19121",1855,500,"Madison","IA"
"18079",1446,331,"Jennings","IN"
"20135",NA,NA,"Ness","KS"
"21189",NA,NA,"Owsley","KY"
"19075",1616,179,"Grundy","IA"
"27153",1699,381,"Todd","MN"
"28153",2099,91,"Wayne","MS"
"36123",1213,165,"Yates","NY"
"37109",1371,2560,"Lincoln","NC"
"31115",NA,NA,"Loup","NE"
"47119",1608,2518,"Maury","TN"
"48103",1676,30,"Crane","TX"
"48063",1621,116,"Camp","TX"
"51037",1236,131,"Charlotte","VA"
"72125",NA,NA,"San Germán",NA
"54015",NA,NA,"Clay","WV"
"18117",1680,139,"Orange","IN"
"19049",1730,3133,"Dallas","IA"
"19167",1617,85,"Sioux","IA"
"12027",2264,338,"DeSoto","FL"
"21201",NA,NA,"Robertson","KY"
"21029",1784,2510,"Bullitt","KY"
"13157",1695,2195,"Jackson","GA"
"16021",1396,349,"Boundary","ID"
"31071",NA,NA,"Garfield","NE"
"45089",1814,188,"Williamsburg","SC"
"55123",1651,151,"Vernon","WI"
"45069",1422,143,"Marlboro","SC"
"48111",2308,69,"Dallam","TX"
"51670",1329,743,"Hopewell","VA"
"48055",1803,444,"Caldwell","TX"
"41013",1203,424,"Crook","OR"
"29043",1886,2925,"Christian","MO"
"27147",1879,1172,"Steele","MN"
"55037",1508,41,"Florence","WI"
"31185",2306,156,"York","NE"
"17101",1766,36,"Lawrence","IL"
"37187",2302,92,"Washington","NC"
"17009",NA,NA,"Brown","IL"
"08007",1542,286,"Archuleta","CO"
"47189",1764,4209,"Wilson","TN"
"46107",NA,NA,"Potter","SD"
"55015",1171,722,"Calumet","WI"
"18091",1481,2261,"LaPorte","IN"
"36067",1561,8340,"Onondaga","NY"
"19193",1434,2389,"Woodbury","IA"
"49053",1070,4009,"Washington","UT"
"21063",NA,NA,"Elliott","KY"
"19147",1400,72,"Palo Alto","IA"
"17167",1573,1744,"Sangamon","IL"
"35031",1365,239,"McKinley","NM"
"24013",1549,8559,"Carroll","MD"
"37079",1631,267,"Greene","NC"
"47065",2004,11506,"Hamilton","TN"
"17127",2012,82,"Massac","IL"
"47075",1662,227,"Haywood","TN"
"19003",NA,NA,"Adams","IA"
"54077",1511,262,"Preston","WV"
"17165",1998,112,"Saline","IL"
"17163",2088,5356,"St. Clair","IL"
"19019",1525,152,"Buchanan","IA"
"19023",1510,171,"Butler","IA"
"19033",1454,852,"Cerro Gordo","IA"
"21095",1702,85,"Harlan","KY"
"19041",1692,123,"Clay","IA"
"42057",1020,168,"Fulton","PA"
"20037",NA,NA,"Crawford","KS"
"20073",NA,NA,"Greenwood","KS"
"55131",1233,2073,"Washington","WI"
"53021",1228,1910,"Franklin","WA"
"42041",1103,7266,"Cumberland","PA"
"29059",1823,252,"Dallas","MO"
"51133",1727,273,"Northumberland","VA"
"21069",1792,45,"Fleming","KY"
"21079",1689,258,"Garrard","KY"
"31013",2549,212,"Box Butte","NE"
"20057",2164,424,"Ford","KS"
"17077",2171,334,"Jackson","IL"
"12001",1707,5047,"Alachua","FL"
"48177",1633,138,"Gonzales","TX"
"18119",1842,278,"Owen","IN"
"72067",NA,NA,"Hormigueros",NA
"17025",1829,54,"Clay","IL"
"18161",1545,44,"Union","IN"
"42077",1195,9122,"Lehigh","PA"
"42083",1105,174,"McKean","PA"
"29125",1846,97,"Maries","MO"
"26039",1851,120,"Crawford","MI"
"27161",1785,469,"Waseca","MN"
"51683",1485,1349,"Manassas","VA"
"31087",NA,NA,"Hitchcock","NE"
"32011",NA,NA,"Eureka","NV"
"36005",2445,3089,"Bronx","NY"
"31085",NA,NA,"Hayes","NE"
"27105",1738,152,"Nobles","MN"
"39023",1281,2446,"Clark","OH"
"35013",1322,4759,"Doña Ana","NM"
"26161",2492,4368,"Washtenaw","MI"
"31139",1979,76,"Pierce","NE"
"26015",2258,55,"Barry","MI"
"35021",NA,NA,"Harding","NM"
"39065",1442,224,"Hardin","OH"
"05029",1894,215,"Conway","AR"
"01123",1836,525,"Tallapoosa","AL"
"31165",NA,NA,"Sioux","NE"
"55113",1653,160,"Sawyer","WI"
"55125",1272,226,"Vilas","WI"
"55141",1203,588,"Wood","WI"
"38093",1697,209,"Stutsman","ND"
"38099",2107,84,"Walsh","ND"
"39129",1590,950,"Pickaway","OH"
"39131",1497,172,"Pike","OH"
"46017",NA,NA,"Buffalo","SD"
"39057",1678,3291,"Greene","OH"
"39049",1439,19837,"Franklin","OH"
"29165",2178,3439,"Platte","MO"
"48049",1872,335,"Brown","TX"
"48135",1774,2910,"Ector","TX"
"48235",NA,NA,"Irion","TX"
"49041",1079,271,"Sevier","UT"
"51101",1467,802,"King William","VA"
"53055",1726,276,"San Juan","WA"
"13277",1701,801,"Tift","GA"
"56041",1224,651,"Uinta","WY"
"28067",1951,477,"Jones","MS"
"13071",1704,501,"Colquitt","GA"
"48435",NA,NA,"Sutton","TX"
"55021",1519,665,"Columbia","WI"
"55127",1392,1518,"Walworth","WI"
"51820",1121,745,"Waynesboro","VA"
"32029",1613,97,"Storey","NV"
"72135",NA,NA,"Toa Alta",NA
"72015",NA,NA,"Arroyo",NA
"72137",NA,NA,"Toa Baja",NA
"72149",NA,NA,"Villalba",NA
"26027",2020,559,"Cass","MI"
"12115",2456,11164,"Sarasota","FL"
"20021",NA,NA,"Cherokee","KS"
"45041",1635,3063,"Florence","SC"
"27017",1789,829,"Carlton","MN"
"13075",1690,290,"Cook","GA"
"13155",1973,92,"Irwin","GA"
"48065",2108,97,"Carson","TX"
"38027",NA,NA,"Eddy","ND"
"20005",NA,NA,"Atchison","KS"
"51600",1810,796,"Fairfax","VA"
"51640",972,65,"Galax","VA"
"20013",NA,NA,"Brown","KS"
"29205",NA,NA,"Shelby","MO"
"51690",1139,266,"Martinsville","VA"
"19001",1505,97,"Adair","IA"
"48221",2525,1240,"Hood","TX"
"12015",2628,5068,"Charlotte","FL"
"13077",1845,5398,"Coweta","GA"
"17011",1500,278,"Bureau","IL"
"39173",1676,1694,"Wood","OH"
"48091",1597,2558,"Comal","TX"
"48133",2637,139,"Eastland","TX"
"48497",2378,1549,"Wise","TX"
"17139",1752,85,"Moultrie","IL"
"17029",1478,253,"Coles","IL"
"19067",1688,89,"Floyd","IA"
"20049",NA,NA,"Elk","KS"
"19081",1552,84,"Hancock","IA"
"26045",2159,1327,"Eaton","MI"
"19085",1922,263,"Harrison","IA"
"47159",1724,279,"Smith","TN"
"48117",1961,169,"Deaf Smith","TX"
"26067",1918,595,"Ionia","MI"
"20205",NA,NA,"Wilson","KS"
"20203",NA,NA,"Wichita","KS"
"48125",NA,NA,"Dickens","TX"
"49031",NA,NA,"Piute","UT"
"26081",1457,8498,"Kent","MI"
"37085",1655,4728,"Harnett","NC"
