"FIPS","mean_premium","median_premium","n_obs","NAME","StateAbb"
"29227",NA,NA,NA,"Worth","MO"
"31061",NA,NA,NA,"Franklin","NE"
"36013",1321,1023,933,"Chautauqua","NY"
"37181",1630,1369,510,"Vance","NC"
"47183",1849,1613,444,"Weakley","TN"
"44003",2484,2138,3875,"Kent","RI"
"08101",2925,2592,4953,"Pueblo","CO"
"17175",NA,NA,NA,"Stark","IL"
"29169",2206,1974,1716,"Pulaski","MO"
"19151",2075,1704,28,"Pocahontas","IA"
"22039",2373,1978,256,"Evangeline","LA"
"28049",2605,2232,3290,"Hinds","MS"
"28081",2149,1829,1077,"Lee","MS"
"29117",1927,1651,282,"Livingston","MO"
"21083",2563,2296,328,"Graves","KY"
"28037",NA,NA,NA,"Franklin","MS"
"40049",2817,2441,286,"Garvin","OK"
"47083",2075,1781,118,"Houston","TN"
"48189",2462,1937,430,"Hale","TX"
"51830",2246,1942,421,"Williamsburg","VA"
"51595",1785,1703,85,"Emporia","VA"
"51169",1695,1476,152,"Scott","VA"
"55069",1519,1212,306,"Lincoln","WI"
"35043",1700,1376,4905,"Sandoval","NM"
"27065",3061,2695,284,"Kanabec","MN"
"13321",1878,1662,257,"Worth","GA"
"37145",1566,1328,803,"Person","NC"
"31035",2752,2535,49,"Clay","NE"
"31169",2885,2710,26,"Thayer","NE"
"54083",1706,1371,65,"Randolph","WV"
"47077",1915,1672,450,"Henderson","TN"
"72033",NA,NA,NA,"Cataño",NA
"48263",NA,NA,NA,"Kent","TX"
"12081",3670,2979,8346,"Manatee","FL"
"16027",1521,1194,3752,"Canyon","ID"
"17069",NA,NA,NA,"Hardin","IL"
"21117",2386,2031,3847,"Kenton","KY"
"22091",3155,2949,87,"St. Helena","LA"
"27133",2090,1837,237,"Rock","MN"
"29119",2525,2188,213,"McDonald","MO"
"40025",NA,NA,NA,"Cimarron","OK"
"39069",1848,1576,180,"Henry","OH"
"47151",1870,1690,156,"Scott","TN"
"06011",1669,1311,616,"Colusa","CA"
"13063",2454,2215,6761,"Clayton","GA"
"13057",2574,2244,9701,"Cherokee","GA"
"18065",1955,1753,751,"Henry","IN"
"20101",NA,NA,NA,"Lane","KS"
