"FIPS","mean_premium","n_obs","NAME","StateAbb"
"53",2012,164945,"Washington","WA"
"72",NA,NA,"Puerto Rico",NA
"46",2792,13987,"South Dakota","SD"
"39",1678,185891,"Ohio","OH"
"01",2384,103142,"Alabama","AL"
"05",2291,61730,"Arkansas","AR"
"35",1861,46421,"New Mexico","NM"
"48",2735,440310,"Texas","TX"
"06",2175,654939,"California","CA"
"21",2228,80246,"Kentucky","KY"
"13",2687,281564,"Georgia","GA"
"55",1665,77935,"Wisconsin","WI"
"41",1515,87657,"Oregon","OR"
"29",2238,148866,"Missouri","MO"
"51",2212,275932,"Virginia","VA"
"47",2111,162112,"Tennessee","TN"
"22",3309,84642,"Louisiana","LA"
"36",2974,237435,"New York","NY"
"26",2224,136358,"Michigan","MI"
"16",1756,32981,"Idaho","ID"
"12",4076,451818,"Florida","FL"
"02",1867,16752,"Alaska","AK"
"17",2549,202596,"Illinois","IL"
"30",2232,26357,"Montana","MT"
"27",2935,149986,"Minnesota","MN"
"24",2292,201437,"Maryland","MD"
"19",2114,54534,"Iowa","IA"
"10",1729,26996,"Delaware","DE"
"31",3094,44229,"Nebraska","NE"
"54",1601,21634,"West Virginia","WV"
"18",1913,120666,"Indiana","IN"
"25",2657,108789,"Massachusetts","MA"
"42",1708,252632,"Pennsylvania","PA"
"28",2781,38880,"Mississippi","MS"
"08",3268,139088,"Colorado","CO"
"20",2661,61967,"Kansas","KS"
"32",1441,59891,"Nevada","NV"
"50",1950,5472,"Vermont","VT"
"09",2517,76384,"Connecticut","CT"
"34",2416,211787,"New Jersey","NJ"
"11",2615,12177,"District of Columbia","DC"
"38",2226,12069,"North Dakota","ND"
"45",2242,122483,"South Carolina","SC"
"37",2042,288764,"North Carolina","NC"
"49",1831,77595,"Utah","UT"
"40",3008,71407,"Oklahoma","OK"
"56",2496,15326,"Wyoming","WY"
"04",1654,151750,"Arizona","AZ"
"44",2482,16762,"Rhode Island","RI"
"23",1608,21066,"Maine","ME"
"15",2983,15439,"Hawaii","HI"
"33",1942,28035,"New Hampshire","NH"
