"year","county_FIPS","mean_premium","median_premium","n_obs","state_FIPS","stateAbb","NAME"
2014,"10001",1409,1045,5266,"10","DE","Kent"
2015,"10001",1341,1035,5301,"10","DE","Kent"
2016,"10001",1399,1137,6084,"10","DE","Kent"
2017,"10001",1324,1069,5794,"10","DE","Kent"
2018,"10001",1385,1124,5685,"10","DE","Kent"
2019,"10001",1452,1202,5593,"10","DE","Kent"
2020,"10001",1492,1206,3832,"10","DE","Kent"
2021,"10001",1457,1275,5043,"10","DE","Kent"
2022,"10001",1588,1373,4875,"10","DE","Kent"
2023,"10001",1757,1495,5160,"10","DE","Kent"
2024,"10001",2092,1779,5405,"10","DE","Kent"
2014,"10003",1346,976,18617,"10","DE","New Castle"
2015,"10003",1322,981,18900,"10","DE","New Castle"
2016,"10003",1474,1156,21754,"10","DE","New Castle"
2017,"10003",1473,1160,21187,"10","DE","New Castle"
2018,"10003",1466,1139,20339,"10","DE","New Castle"
2019,"10003",1485,1161,19600,"10","DE","New Castle"
2020,"10003",1481,1107,13164,"10","DE","New Castle"
2021,"10003",1408,1125,16502,"10","DE","New Castle"
2022,"10003",1541,1234,15512,"10","DE","New Castle"
2023,"10003",1662,1293,15880,"10","DE","New Castle"
2024,"10003",1968,1631,16302,"10","DE","New Castle"
2014,"10005",1424,1071,5680,"10","DE","Sussex"
2015,"10005",1466,1129,5834,"10","DE","Sussex"
2016,"10005",1481,1164,6392,"10","DE","Sussex"
2017,"10005",1470,1162,6441,"10","DE","Sussex"
2018,"10005",1497,1196,6268,"10","DE","Sussex"
2019,"10005",1537,1246,6371,"10","DE","Sussex"
2020,"10005",1573,1208,4402,"10","DE","Sussex"
2021,"10005",1555,1273,5637,"10","DE","Sussex"
2022,"10005",1754,1435,5735,"10","DE","Sussex"
2023,"10005",1885,1532,5956,"10","DE","Sussex"
2024,"10005",2007,1633,6613,"10","DE","Sussex"
2014,"01001",1433,1200,1807,"01","AL","Autauga"
2015,"01001",1432,1229,1882,"01","AL","Autauga"
2016,"01001",1434,1255,2200,"01","AL","Autauga"
2017,"01001",1373,1218,2106,"01","AL","Autauga"
2018,"01001",1455,1314,2109,"01","AL","Autauga"
2019,"01001",1495,1373,2086,"01","AL","Autauga"
2020,"01001",1610,1442,2016,"01","AL","Autauga"
2021,"01001",1699,1551,1498,"01","AL","Autauga"
2022,"01001",1861,1688,1434,"01","AL","Autauga"
2023,"01001",2083,1889,1431,"01","AL","Autauga"
2024,"01001",2299,2040,1613,"01","AL","Autauga"
2014,"01003",2707,2338,4385,"01","AL","Baldwin"
2015,"01003",2604,2276,4676,"01","AL","Baldwin"
2016,"01003",2413,2105,5867,"01","AL","Baldwin"
2017,"01003",2221,1926,6060,"01","AL","Baldwin"
2018,"01003",2198,1896,5409,"01","AL","Baldwin"
2019,"01003",2226,1936,5453,"01","AL","Baldwin"
2020,"01003",2316,1991,5504,"01","AL","Baldwin"
2021,"01003",2448,2078,4769,"01","AL","Baldwin"
2022,"01003",2775,2321,5049,"01","AL","Baldwin"
2023,"01003",3288,2686,5132,"01","AL","Baldwin"
2024,"01003",3648,3007,5805,"01","AL","Baldwin"
2014,"01005",1615,1353,204,"01","AL","Barbour"
2015,"01005",1568,1347,232,"01","AL","Barbour"
2016,"01005",1766,1381,256,"01","AL","Barbour"
2017,"01005",1574,1399,252,"01","AL","Barbour"
2018,"01005",1606,1400,286,"01","AL","Barbour"
2019,"01005",1591,1422,264,"01","AL","Barbour"
2020,"01005",1622,1417,306,"01","AL","Barbour"
2021,"01005",1995,1670,191,"01","AL","Barbour"
2022,"01005",2126,1723,188,"01","AL","Barbour"
2023,"01005",2113,1892,231,"01","AL","Barbour"
2024,"01005",2392,2085,211,"01","AL","Barbour"
2014,"01007",1634,1402,230,"01","AL","Bibb"
2015,"01007",1610,1409,253,"01","AL","Bibb"
2016,"01007",1638,1456,275,"01","AL","Bibb"
2017,"01007",1653,1480,259,"01","AL","Bibb"
2018,"01007",1582,1399,265,"01","AL","Bibb"
2019,"01007",1611,1517,274,"01","AL","Bibb"
2020,"01007",1697,1527,286,"01","AL","Bibb"
2021,"01007",1700,1585,232,"01","AL","Bibb"
2022,"01007",1946,1786,235,"01","AL","Bibb"
2023,"01007",2184,1954,246,"01","AL","Bibb"
2024,"01007",2465,2183,262,"01","AL","Bibb"
2014,"01009",1600,1371,946,"01","AL","Blount"
2015,"01009",1648,1457,1048,"01","AL","Blount"
2016,"01009",1653,1472,1136,"01","AL","Blount"
2017,"01009",1636,1453,1126,"01","AL","Blount"
2018,"01009",1591,1438,1088,"01","AL","Blount"
