"year","state","mean_premium","median_premium","n_obs","state_FIPS"
2014,"AK",1587,1271,21750,"02"
2015,"AK",1645,1325,21386,"02"
2016,"AK",1654,1333,23636,"02"
2017,"AK",1656,1339,24335,"02"
2018,"AK",1616,1300,24687,"02"
2019,"AK",1713,1364,21936,"02"
2020,"AK",1887,1521,19143,"02"
2021,"AK",1649,1333,16976,"02"
2022,"AK",1825,1505,16487,"02"
2023,"AK",1867,1528,16752,"02"
2024,"AK",2146,1789,16871,"02"
2014,"AL",1675,1393,105147,"01"
2015,"AL",1698,1438,112245,"01"
2016,"AL",1693,1454,128636,"01"
2017,"AL",1651,1427,125091,"01"
2018,"AL",1678,1460,121442,"01"
2019,"AL",1760,1538,122581,"01"
2020,"AL",1853,1605,123021,"01"
2021,"AL",1924,1685,102330,"01"
2022,"AL",2105,1840,100509,"01"
2023,"AL",2384,2057,103142,"01"
2024,"AL",2699,2316,110793,"01"
2014,"AR",1581,1338,52657,"05"
2015,"AR",1638,1386,55661,"05"
2016,"AR",1685,1431,63812,"05"
2017,"AR",1731,1469,59523,"05"
2018,"AR",1735,1480,67177,"05"
2019,"AR",1811,1551,68334,"05"
2020,"AR",1799,1520,64944,"05"
2021,"AR",1786,1526,60616,"05"
2022,"AR",2022,1724,59351,"05"
2023,"AR",2291,1947,61730,"05"
2024,"AR",2752,2390,60873,"05"
2014,"AZ",1072,828,182240,"04"
2015,"AZ",1145,909,191716,"04"
2016,"AZ",1163,925,223153,"04"
2017,"AZ",1148,904,215392,"04"
2018,"AZ",1158,924,212044,"04"
2019,"AZ",1240,1002,202589,"04"
2020,"AZ",1276,1009,180476,"04"
2021,"AZ",1234,1008,164147,"04"
2022,"AZ",1390,1120,147388,"04"
2023,"AZ",1654,1294,151750,"04"
2024,"AZ",2097,1698,174915,"04"
2014,"CA",1453,1002,528739,"06"
2015,"CA",1460,1020,570345,"06"
2016,"CA",1439,1017,680436,"06"
2017,"CA",1432,996,680203,"06"
2018,"CA",1492,1056,677177,"06"
2019,"CA",1547,1106,699338,"06"
2020,"CA",1773,1179,770792,"06"
2021,"CA",1688,1221,586948,"06"
2022,"CA",1934,1386,569684,"06"
2023,"CA",2175,1488,654939,"06"
2024,"CA",2311,1703,688607,"06"
2014,"CO",1673,1393,163516,"08"
2015,"CO",1745,1482,167026,"08"
2016,"CO",1937,1671,196904,"08"
2017,"CO",1892,1617,193177,"08"
2018,"CO",2051,1797,186197,"08"
2019,"CO",2163,1890,187811,"08"
2020,"CO",2347,2060,175790,"08"
2021,"CO",2381,2082,137271,"08"
2022,"CO",2803,2464,134828,"08"
2023,"CO",3268,2836,139088,"08"
2024,"CO",4142,3588,160060,"08"
2014,"CT",1902,1448,68400,"09"
2015,"CT",1928,1510,68854,"09"
2016,"CT",1888,1490,78895,"09"
2017,"CT",1891,1510,82412,"09"
2018,"CT",1910,1542,82250,"09"
2019,"CT",1949,1587,83339,"09"
2020,"CT",2097,1633,84581,"09"
2021,"CT",1976,1607,69952,"09"
2022,"CT",2193,1810,70507,"09"
2023,"CT",2517,2004,76384,"09"
2024,"CT",2773,2324,79055,"09"
2014,"DC",1838,1370,12044,"11"
2015,"DC",1930,1506,12154,"11"
2016,"DC",1970,1569,13626,"11"
2017,"DC",2022,1618,13938,"11"
2018,"DC",2017,1613,14442,"11"
2019,"DC",1842,1451,13256,"11"
2020,"DC",1930,1384,13488,"11"
2021,"DC",2007,1601,11591,"11"
2022,"DC",2145,1686,11136,"11"
2023,"DC",2615,2002,12177,"11"
2024,"DC",2725,2154,11691,"11"
2014,"DE",1372,1007,29563,"10"
2015,"DE",1353,1021,30035,"10"
2016,"DE",1462,1154,34230,"10"
2017,"DE",1447,1142,33422,"10"
2018,"DE",1458,1147,32292,"10"
2019,"DE",1489,1185,31564,"10"
2020,"DE",1502,1148,21398,"10"
2021,"DE",1447,1180,27182,"10"
2022,"DE",1596,1303,26122,"10"
2023,"DE",1729,1389,26996,"10"
2024,"DE",2001,1659,28320,"10"
2014,"FL",2521,1969,419307,"12"
2015,"FL",2409,1902,450547,"12"
2016,"FL",2258,1775,522246,"12"
2017,"FL",2232,1742,514359,"12"
2018,"FL",2351,1839,533696,"12"
2019,"FL",2487,1940,533313,"12"
2020,"FL",2606,2008,530436,"12"
2021,"FL",2804,2232,458882,"12"
2022,"FL",3393,2733,441774,"12"
2023,"FL",4076,3278,451818,"12"
2024,"FL",4448,3637,484714,"12"
2014,"GA",1682,1296,282302,"13"
2015,"GA",1798,1439,305972,"13"
2016,"GA",1819,1448,345302,"13"
2017,"GA",1800,1453,341320,"13"
2018,"GA",1909,1548,343664,"13"
2019,"GA",2065,1654,346380,"13"
2020,"GA",1983,1625,337908,"13"
2021,"GA",2022,1685,288245,"13"
2022,"GA",2242,1879,274795,"13"
2023,"GA",2687,2263,281564,"13"
2024,"GA",2768,2292,292191,"13"
2014,"HI",2110,1710,13885,"15"
2015,"HI",2149,1756,13754,"15"
2016,"HI",2071,1670,17399,"15"
2017,"HI",2214,1784,16754,"15"
2018,"HI",2212,1797,16496,"15"
2019,"HI",2261,1849,15601,"15"
2020,"HI",2415,1823,14394,"15"
2021,"HI",2279,1865,12367,"15"
2022,"HI",2585,2160,14186,"15"
2023,"HI",2983,2433,15439,"15"
2024,"HI",3263,2717,16739,"15"
2014,"IA",1345,1114,62779,"19"
2015,"IA",1319,1112,62765,"19"
2016,"IA",1369,1153,66318,"19"
2017,"IA",1381,1165,67791,"19"
2018,"IA",1397,1189,70828,"19"
2019,"IA",1478,1252,67463,"19"
2020,"IA",1471,1260,49098,"19"
2021,"IA",1543,1350,55761,"19"
2022,"IA",1751,1530,55212,"19"
2023,"IA",2114,1832,54534,"19"
2024,"IA",2575,2225,58510,"19"
2014,"ID",1090,809,40162,"16"
2015,"ID",1041,788,42255,"16"
2016,"ID",1039,792,47333,"16"
2017,"ID",1058,804,47465,"16"
2018,"ID",1078,831,46395,"16"
2019,"ID",1230,975,47247,"16"
2020,"ID",1360,1085,45543,"16"
2021,"ID",1228,960,35207,"16"
2022,"ID",1501,1213,31857,"16"
2023,"ID",1756,1433,32981,"16"
2024,"ID",1595,1258,35798,"16"
2014,"IL",1663,1242,197940,"17"
2015,"IL",1671,1262,196550,"17"
2016,"IL",1661,1286,232264,"17"
2017,"IL",1706,1313,229210,"17"
2018,"IL",1786,1389,220010,"17"
2019,"IL",1805,1403,212404,"17"
2020,"IL",1923,1500,197031,"17"
2021,"IL",1846,1493,183453,"17"
2022,"IL",2059,1701,194942,"17"
2023,"IL",2549,2058,202596,"17"
2024,"IL",3170,2581,228511,"17"
2014,"IN",1354,1102,123234,"18"
2015,"IN",1355,1112,128532,"18"
2016,"IN",1416,1197,150194,"18"
2017,"IN",1384,1166,148978,"18"
2018,"IN",1384,1177,138175,"18"
2019,"IN",1443,1223,137117,"18"
2020,"IN",1467,1240,127995,"18"
2021,"IN",1496,1294,114290,"18"
2022,"IN",1688,1457,116787,"18"
2023,"IN",1913,1628,120666,"18"
2024,"IN",2247,1936,137159,"18"
2014,"KS",1825,1567,59695,"20"
2015,"KS",1923,1646,67179,"20"
2016,"KS",1944,1722,75311,"20"
2017,"KS",1908,1683,74346,"20"
2018,"KS",1969,1753,75896,"20"
2019,"KS",2043,1822,76065,"20"
2020,"KS",2058,1847,74864,"20"
2021,"KS",2159,1940,63917,"20"
2022,"KS",2415,2159,59722,"20"
2023,"KS",2661,2358,61967,"20"
2024,"KS",3066,2691,61744,"20"
2014,"KY",1597,1319,76615,"21"
2015,"KY",1595,1326,81411,"21"
2016,"KY",1615,1350,93982,"21"
2017,"KY",1608,1348,90840,"21"
